n_features,removed_feature,roc_auc,remaining_features,roc_auc_std,phase
59,content_num_smiley,0.7430464352000435,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_source_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'user_avg_interactions_per_author', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_num_disagreement', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.004886742177217063,pre_stopping
58,content_num_disagreement,0.7425028809878957,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_source_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'user_avg_interactions_per_author', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.0034122843141344773,pre_stopping
57,structural_num_tweets_with_media,0.7439751073250827,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_source_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'user_avg_interactions_per_author', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.007612980530567273,pre_stopping
56,user_avg_interactions_per_author,0.7432747072498558,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_source_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.008297577534459677,pre_stopping
55,temporal_statuses_count_slope,0.7426873539688513,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_source_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_account_age_slope']",0.004754627909577674,pre_stopping
54,content_ratio_third_person,0.7453097777097015,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_source_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_account_age_slope']",0.005980573180117198,pre_stopping
53,structural_num_tweets_with_hashtags,0.7437420245413697,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_source_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_account_age_slope']",0.003474131227793216,pre_stopping
52,user_source_account_age_at_tweet,0.7426971071341631,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_account_age_slope']",0.0060493155604631876,pre_stopping
51,structural_ratio_retweets,0.7426658444939285,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_mentions', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_account_age_slope']",0.005316507114667308,pre_stopping
50,user_avg_friends_count,0.7441562341826676,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_mentions', 'structural_ratio_tweets_with_media', 'user_interaction_count', 'user_verified_ratio', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_unique_authors', 'user_avg_followers_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_followers_friends_ratio', 'user_source_verified', 'user_avg_account_age_days', 'content_num_info_request', 'content_num_first_person', 'content_ratio_exclamation', 'content_ratio_disagreement', 'content_ratio_first_person', 'content_ratio_question', 'content_num_exclamation', 'content_num_subjectivity', 'content_ratio_second_person', 'content_num_polarity', 'content_num_second_person', 'content_ratio_smiley', 'content_ratio_support', 'content_ratio_info_request', 'content_num_third_person', 'content_disagreement', 'content_num_support', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_network_density_slope', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_account_age_slope']",0.004254639435466301,pre_stopping
