n_features,removed_feature,roc_auc,remaining_features,roc_auc_std,phase
44,temporal_friends_count_slope,0.7400354576673033,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_ratio_exclamation', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.00855421892146679,pre_stopping
43,temporal_account_age_slope,0.7416684413675133,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_ratio_exclamation', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope']",0.007389942235731589,pre_stopping
42,content_ratio_exclamation,0.741671756453891,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope']",0.005867767007569117,pre_stopping
41,content_ratio_smiley,0.7416387070894699,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope']",0.007297175190422617,pre_stopping
40,temporal_tweets_per_minute_slope,0.7437250984753454,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope']",0.0048246014347840755,pre_stopping
39,structural_num_tweets_with_hashtags,0.7438917688049365,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope']",0.005984058991171905,pre_stopping
38,content_num_question,0.7422648868097645,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_num_third_person', 'content_disagreement', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope']",0.006186229241892647,pre_stopping
37,structural_ratio_tweets_with_mentions,0.7458859677393107,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_num_third_person', 'content_disagreement', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope']",0.004375627424430491,pre_stopping
36,temporal_interaction_slope,0.7438722784122278,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_num_third_person', 'content_disagreement', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope']",0.005925915804495374,pre_stopping
35,structural_num_retweets,0.7459680706516042,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_num_exclamation', 'content_ratio_second_person', 'content_num_second_person', 'content_num_third_person', 'content_disagreement', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope']",0.005853927244310194,pre_stopping
