n_features,removed_feature,roc_auc,remaining_features,roc_auc_std,phase
44,content_num_exclamation,0.8051774050733904,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_ratio_exclamation', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.007797850617822442,pre_stopping
43,content_ratio_exclamation,0.8045964045799734,"['structural_ratio_tweets_with_mentions', 'structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.007617614013840373,pre_stopping
42,structural_ratio_tweets_with_mentions,0.8055865784717428,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_friends_count_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.009468129373190312,pre_stopping
41,temporal_friends_count_slope,0.8090432378262788,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_thread_lifetime_minutes', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.009053136089094664,pre_stopping
40,structural_thread_lifetime_minutes,0.8074302319143687,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_tweets_per_minute_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.00731376516936509,pre_stopping
39,temporal_tweets_per_minute_slope,0.8083802176507492,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_num_tweets_with_mentions', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.004234176350861906,pre_stopping
38,structural_num_tweets_with_mentions,0.8087651106037412,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_num_smiley', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.0046655920495553465,pre_stopping
37,content_num_smiley,0.8095933382918676,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_age_tweet_diff_slope', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.006701191079023987,pre_stopping
36,temporal_age_tweet_diff_slope,0.811123552512187,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_statuses_count_slope', 'temporal_account_age_slope']",0.004860377970985354,pre_stopping
35,temporal_statuses_count_slope,0.8092377185258626,"['structural_ratio_tweets_with_hashtags', 'structural_num_tweets_with_urls', 'structural_num_retweets', 'structural_conversation_depth', 'structural_avg_tweet_length', 'structural_num_tweets', 'structural_ratio_tweets_with_urls', 'structural_num_tweets_with_media', 'structural_num_tweets_with_hashtags', 'structural_ratio_retweets', 'structural_ratio_tweets_with_media', 'user_avg_account_age_at_tweet', 'user_num_verified', 'user_avg_followers_count', 'user_avg_friends_count', 'user_network_density', 'user_source_account_age_days', 'user_avg_statuses_count', 'user_source_verified', 'user_avg_account_age_days', 'content_num_first_person', 'content_ratio_first_person', 'content_ratio_third_person', 'content_ratio_question', 'content_ratio_second_person', 'content_num_second_person', 'content_ratio_smiley', 'content_num_third_person', 'content_disagreement', 'content_num_question', 'content_polarity', 'content_subjectivity', 'temporal_interaction_slope', 'temporal_followers_count_slope', 'temporal_account_age_slope']",0.006641751214875478,pre_stopping
